iter	Passed	Remaining
0	1	152
1	2	126
2	3	114
3	4	104
4	5	103
5	6	100
6	7	100
7	8	100
8	9	99
9	10	97
10	11	96
11	13	96
12	14	94
13	15	93
14	16	92
15	17	90
16	18	89
17	19	88
18	20	87
19	21	86
20	22	86
21	24	85
22	25	83
23	26	82
24	27	81
25	28	80
26	29	79
27	30	78
28	31	77
29	32	76
30	33	75
31	35	74
32	36	74
33	37	73
34	38	72
35	40	71
36	41	70
37	42	69
38	43	67
39	44	66
40	45	65
41	46	63
42	47	62
43	48	61
44	49	60
45	50	59
46	51	58
47	53	57
48	54	56
49	55	55
50	56	54
51	57	53
52	59	52
53	60	51
54	61	50
55	63	49
56	65	49
57	66	48
58	68	47
59	69	46
60	71	45
61	72	44
62	73	43
63	74	42
64	76	41
65	77	40
66	79	39
67	80	37
68	82	36
69	83	35
70	84	34
71	86	33
72	87	32
73	89	31
74	90	30
75	91	29
76	93	27
77	94	26
78	96	25
79	97	24
80	99	23
81	100	22
82	102	20
83	103	19
84	104	18
85	106	17
86	108	16
87	109	14
88	111	13
89	112	12
90	113	11
91	115	10
92	116	8
93	117	7
94	119	6
95	120	5
96	122	3
97	123	2
98	125	1
99	126	0
