iter	Passed	Remaining
0	127	127178
1	128	64118
2	129	43059
3	130	32506
4	131	26188
5	132	21977
6	133	18968
7	134	16723
8	135	14965
9	136	13544
10	137	12381
11	138	11411
12	139	10602
13	141	9939
14	142	9385
15	144	8860
16	145	8386
17	145	7962
18	147	7590
19	147	7251
20	148	6942
21	149	6661
22	150	6405
23	151	6170
24	152	5950
25	153	5747
26	154	5568
27	156	5415
28	157	5276
29	158	5127
30	159	4986
31	160	4861
32	161	4744
33	162	4628
34	163	4517
35	164	4413
36	165	4313
37	166	4217
38	167	4126
39	168	4041
40	169	3960
41	170	3888
42	172	3835
43	173	3768
44	174	3699
45	175	3635
46	176	3573
47	177	3514
48	178	3458
49	179	3404
50	180	3360
51	181	3310
52	182	3260
53	183	3212
54	184	3172
55	186	3137
56	187	3101
57	188	3063
58	189	3024
59	190	2986
60	191	2948
61	192	2911
62	193	2875
63	194	2841
64	195	2805
65	195	2770
66	196	2738
67	197	2706
68	198	2676
69	199	2651
70	201	2633
71	202	2607
72	203	2580
73	204	2553
74	204	2526
75	205	2500
76	206	2475
77	207	2450
78	208	2425
79	208	2402
80	209	2379
81	210	2357
82	211	2331
83	212	2316
84	213	2296
85	214	2280
86	216	2268
87	217	2254
88	218	2237
89	219	2220
90	220	2204
91	221	2187
92	222	2174
93	224	2159
94	225	2143
95	225	2127
96	226	2111
97	227	2096
98	229	2090
99	231	2079
100	232	2069
101	233	2056
102	234	2042
103	235	2029
104	236	2017
105	237	2004
106	238	1990
107	239	1976
108	240	1963
109	241	1950
110	241	1938
111	243	1927
112	244	1916
113	245	1909
114	246	1897
115	247	1885
116	248	1872
117	248	1861
118	249	1849
119	250	1838
120	251	1828
121	252	1816
122	253	1806
123	254	1796
124	255	1786
125	256	1776
126	256	1765
127	258	1758
128	259	1751
129	260	1745
130	261	1736
131	262	1726
132	263	1716
133	264	1707
134	265	1698
135	265	1689
136	266	1680
137	267	1672
138	268	1664
139	269	1655
140	270	1647
141	270	1636
142	271	1627
143	272	1622
144	274	1616
145	275	1609
146	276	1601
147	276	1593
148	277	1585
149	278	1577
150	279	1569
151	279	1561
152	280	1553
153	281	1545
154	282	1537
155	282	1530
156	283	1522
157	284	1515
158	285	1508
159	285	1500
160	286	1492
161	287	1485
162	288	1478
163	289	1473
164	290	1468
165	290	1461
166	291	1454
167	292	1447
168	293	1441
169	293	1434
170	294	1428
171	295	1422
172	296	1416
173	297	1410
174	297	1404
175	298	1398
176	299	1392
